,relation_id,index
0,mention,0
1,clicked,1
2,P161,2
3,P131,3
4,P921,4
5,P551,5
6,P915,6
7,P740,7
8,P19,8
9,P20,9
10,P840,10
11,P3450,11
12,P664,12
13,P54,13
14,P162,14
15,P1363,15
16,P27,16
17,P1532,17
18,P495,18
19,P17,19
20,P205,20
21,P291,21
22,P1001,22
23,P945,23
24,P1269,24
25,P137,25
26,P710,26
27,P119,27
28,P159,28
29,P264,29
30,P276,30
31,P527,31
32,P937,32
33,P2541,33
34,P175,34
35,P4884,35
36,P647,36
37,P971,37
38,P1891,38
39,P102,39
40,P1366,40
41,P140,41
42,P3075,42
43,P279,43
44,P127,44
45,P449,45
46,P272,46
47,P31,47
48,P193,48
49,P1071,49
50,P725,50
51,P609,51
52,P237,52
53,P178,53
54,P39,54
55,P108,55
56,P106,56
57,P241,57
58,P1346,58
59,P69,59
60,P180,60
61,P30,61
62,P859,62
63,P176,63
64,P1412,64
65,P364,65
66,P407,66
67,P6886,67
68,P103,68
69,P136,69
70,P750,70
71,P607,71
72,P547,72
73,P361,73
74,P50,74
75,P421,75
76,P22,76
77,P413,77
78,P129,78
79,P676,79
80,P86,80
81,P1050,81
82,P509,82
83,P21,83
84,P641,84
85,P172,85
86,P166,86
87,P734,87
88,P123,88
89,P5389,89
90,P1344,90
91,P6153,91
92,P138,92
93,P1416,93
94,P179,94
95,P144,95
96,P463,96
97,P170,97
98,P112,98
99,P1433,99
100,P1165,100
101,P451,101
102,P36,102
103,P1716,103
104,P375,104
105,P793,105
106,P101,106
107,P800,107
108,P2175,108
109,P749,109
110,P6379,110
111,P206,111
112,P118,112
113,P186,113
114,P2935,114
115,P1399,115
116,P2789,116
117,P611,117
118,P2012,118
119,P183,119
120,P400,120
121,P2094,121
122,P748,122
123,P404,123
124,P306,124
125,P1441,125
126,P57,126
127,P58,127
128,P1923,128
129,P1884,129
130,P437,130
131,P25,131
132,P2378,132
133,P1431,133
134,P1080,134
135,P47,135
136,P61,136
137,P1142,137
