subcategory,subcategory_index
tv-celebrity,0
football_nfl,1
music-celebrity,2
movies-celebrity,3
tv-gallery,4
personalfinance,5
basketball_nba,6
shop-holidays,7
soccer,8
news,9
newscrime,10
newspolitics,11
more_sports,12
newsus,13
science,14
autosnews,15
restaurantsandnews,16
markets,17
newsworld,18
lifestylebuzz,19
newstrends,20
foodnews,21
viral,22
travelnews,23
tvnews,24
autosenthusiasts,25
autossports,26
baseball_mlb,27
football_nfl_videos,28
finance-companies,29
autosreview,30
animals,31
racing,32
finance-real-estate,33
wellness,34
health-news,35
elections-2020-us,36
newsscienceandtechnology,37
newsopinion,38
baseball_mlb_videos,39
mma,40
music-gallery,41
lifestyle,42
weathertopstories,43
travelarticle,44
celebrity,45
football_ncaa,46
autosclassics,47
lifestyledidyouknow,48
causes-environment,49
fitness,50
lifestylerelationships,51
traveltips,52
finance-retirement,53
autosownership,54
traveltripideas,55
finance-healthcare,56
shop-books-movies-tv,57
medical,58
movies-gallery,59
shop-all,60
popculture,61
newsfactcheck,62
tipsandtricks,63
lifestyleroyals,64
factcheck,65
icehockey_nhl,66
movievideo,67
nutrition,68
weightloss,69
lifestylevideo,70
newsgoodnews,71
finance-top-stocks,72
music-awards,73
recipes,74
video,75
advice,76
movienews,77
lifestylehoroscope,78
lifestylecelebstyle,79
lifestylehomeandgarden,80
newsoffbeat,81
quickandeasy,82
lifestylefashion,83
tv-reviews,84
autossuvs,85
autosluxury,86
financenews,87
boxing-mma,88
autosbuying,89
entertainment-celebrity,90
beverages,91
finance-savemoney,92
lifestylesmartliving,93
musicnews,94
entertainment-books,95
mmaufc,96
boxing,97
golf,98
tvvideos,99
finance-homesandpropertysection,100
newsphotos,101
causes,102
voices,103
tv-recaps,104
basketball_wnba,105
autospassenger,106
lifestylefamilyandrelationships,107
humor,108
newsbusiness,109
finance-career-education,110
healthnews,111
basketball_ncaa,112
company-news,113
health-cancer,114
causes-green-living,115
shop-apparel,116
movies-awards,117
lifestyleparenting,118
newsworldpolitics,119
finance-education,120
autostrucks,121
autosmotorcycles,122
travel-points-rewards,123
newsrealestate,124
finance-career,125
autosresearch,126
autoshybrids,127
autossema,128
autostokyo,129
peopleandplaces,130
finance-taxes,131
lifestylediy,132
lifestyle-news-feature,133
videos,134
awards,135
weatherfullscreenmaps,136
lifestylepetsanimals,137
lifestylecleaningandorganizing,138
weight-loss,139
cma-awards,140
autosresearchguides,141
lifestylebeauty,142
indepth,143
newselection2020,144
finance-saving-investing,145
awardstyle,146
lifestylecareer,147
ads-lung-health,148
football_ncaa_videos,149
lifestyleweddings,150
foodanddrink,151
mentalhealth,152
tv-golden-globes,153
ustravel,154
internationaltravel,155
sports_news,156
topnews,157
finance-insurance,158
causes-poverty,159
yearinoffbeatgoodnews,160
causes-military-appreciation,161
outdoors,162
lifestylepets,163
travel,164
finance-video,165
newsweather,166
musicvideos,167
lifestylefamily,168
padding,169
